id;parent;alternativeParents;prereq;alternativeName;name;nameMenu;title;description;ogimage;url;urlShortcut;comicStrip;specs;image;visible;ordering
332;7;;;;Porovnávání čísel do 1000;;;;;cviceni-porovnavani-cisel-do-1000;F72;;;;1;6
333;7;;;;Porovnávání čísel do 1 000 000;;;;;cviceni-porovnavani-cisel-do-1000000;F73;;;;1;8
334;10;;;;Porovnávání výsledků: sčítání a odčítání do 20;;;;;cviceni-porovnavani-vysledku-scitani-odcitani-do-20;F9J;;;;1;3
335;10;;;;Porovnávání výsledků výpočtů;;;;;cviceni-porovnavani-vysledku-vypoctu;F9K;;;;1;4
336;207;;;;Konstrukce trojúhelníků: známé délky stran;;;;;cviceni-konstrukce-trojuhelniku-zname-strany;F9P;;;;1;1
337;207;;;;Konstrukce trojúhelníků: rovnoramenné a rovnostranné trojúhelníky;;;Konstrukce rovnostranných a rovnoramenných trojúhelníků.;;cviceni-konstrukce-rovnoramenne-a-rovnostranne-trojuhelniky;F9T;;;;1;2
342;207;;;;Konstrukce trojúhelníků: těžnice, výšky, vepsaná  a opsaná kružnice;;;;;cviceni-konstrukce-trojuhelniku-teznice-vysky-kruznice;F94;;;;1;4
343;207;;;;Konstrukce trojúhelníků: věty sss, sus, usu, Ssu;;;;;cviceni-konstrukce-trojuhelniku-vety-sss-sus-usu-ssu;F96;;;;1;3
344;55;;;;Radiány;;;;;cviceni-radiany;F99;;;;1;7
345;3;;;;Rovinné útvary;;;Útvary v rovině;;cviceni-rovinne-utvary;GAC;;;;1;3
346;345;;;;Trojúhelník;;;;;cviceni-trojuhelnik;GAD;;{"sub_kc_order": [269, 409, 128, 207, 57, 231, 408]};;1;1
347;345;;;;Čtverec a obdélník;;;;;cviceni-obdelnik-ctverec;GAE;;;;1;2
348;345;;;;Rovnoběžník;;;;;cviceni-rovnobeznik;GAF;;;;1;3
349;345;;;;Lichoběžník;;;;;cviceni-lichobeznik;GAH;;;;1;4
350;345;;;;Kruh a kružnice;;;;;cviceni-kruh-kruznice;GAJ;;;;1;5
351;62;;;;Délka úsečky (na mřížce);;;;;cviceni-delka-usecky;GAN;;;;1;1
352;62;;;;Délka lomené čáry (na mřížce);;;;;cviceni-delka-lomene-cary;GAP;;;;1;2
353;3;;;;Prostorové útvary;;;;;cviceni-prostorove-utvary;GDP;;;;1;4
354;353;;;;Krychle a kvádr;;;;;cviceni-krychle-kvadr;GDR;;;;1;1
355;353;;;;Hranol;;;;;cviceni-hranol;GDS;;;;1;2
356;353;;;;Jehlan;;;;;cviceni-jehlan;GDT;;;;1;3
357;353;;;;Válec;;;;;cviceni-valec;GDU;;;;1;4
358;353;;;;Koule;;;;;cviceni-koule;GDW;;;;1;5
359;353;;;;Kužel;;;;;cviceni-kuzel;GDX;;;;1;6
360;391;350;;;Obsah kruhové výseče;;;;;cviceni-obsah-vysec-kruh;GDZ;;;;1;6
361;391;409;;Trojúhelník: obsah;Obsah trojúhelníku;;;;;cviceni-obsah-trojuhelnik;GEE;;;;1;1
362;392;409;;Trojúhelník: obvod;Obvod trojúhelníku;;;;;cviceni-obvod-trojuhelnik;GEM;;;;1;1
363;392;347;;;Obvod čtverce a obdélníku;;;;;cviceni-obvod-ctverec-obdelnik;GEO;;;;1;2
364;391;347;;;Obsah čtverce a obdélníku;;;;;cviceni-obsah-ctverec-obdelnik;GEP;;;;1;2
365;392;348;;;Obvod rovnoběžníku;;;;;cviceni-obvod-rovnobeznik;GER;;;;1;3
366;391;348;;;Obsah rovnoběžníku;;;;;cviceni-obsah-rovnobeznik;GES;;;;1;3
367;392;349;;;Obvod lichoběžníku;;;;;cviceni-obvod-lichobeznik;GE1;;;;1;4
368;391;349;;;Obsah lichoběžníku;;;;;cviceni-obsah-lichobeznik;GE2;;;;1;4
369;0;;;;Finanční gramotnost;;;;;cviceni-financni-gramotnost;GFN;;{"icon":18352};;1;11
370;394;354;;;Objem krychle a kvádru;;;;;cviceni-objem-krychle-kvadr;GFO;;;;1;1
371;393;354;;;Povrch krychle a kvádru;;;;;cviceni-povrch-krychle-kvadr;GFP;;;;1;1
372;394;355;;;Objem hranolu;;;;;cviceni-objem-hranol;GFR;;;;1;2
373;393;355;;;Povrch hranolu;;;;;cviceni-povrch-hranol;GFS;;;;1;2
374;394;356;;;Objem jehlanu;;;;;cviceni-objem-jehlan;GFT;;;;1;3
375;393;356;;;Povrch jehlanu;;;;;cviceni-povrch-jehlan;GFV;;;;1;3
376;394;357;;;Objem válce;;;;;cviceni-objem-valec;GFW;;;;1;5
377;393;357;;;Povrch válce;;;;;cviceni-povrch-valec;GFX;;;;1;5
378;394;359;;;Objem kužele;;;;;cviceni-objem-kuzel;GFZ;;;;1;6
379;393;359;;;Povrch kužele;;;;;cviceni-povrch-kuzel;GF1;;;;1;6
380;394;358;;;Objem koule;;;;;cviceni-objem-koule;GF2;;;;1;7
381;393;358;;;Povrch koule;;;;;cviceni-povrch-koule;GF3;;;;1;7
382;369;;;;Počítání s penězi;;;;;cviceni-pocitani-s-penezi;GGB;;;;1;0
383;369;;;;Finanční výpočty;;;;;cviceni-financni-vypocty;GGC;;;;1;0
384;369;;;;Finanční pojmy a principy;;;;;cviceni-financni-pojmy-principy;GGD;;;;1;0
385;382;;;;Odhad ceny běžných věcí;;;;;cviceni-odhad-ceny-beznych-veci;GGE;;;;1;1
386;382;;;;Převody měn;;;;;cviceni-prevody-men;GGF;;;;1;3
387;382;;;;Peníze a procenta;;;;;cviceni-penize-procenta;GGG;;;;1;4
388;382;;;;Nákupy, společné výdaje a vyrovnání;;;;;cviceni-spolecne-vydaje-vyrovnani;GGH;;;;1;2
389;384;;;;Základní finanční pojmy;;;;;cviceni-finance-pojmy-zaklady;GGJ;;;;1;0
390;384;;;;Finanční produkty: pojmy;;;;;cviceni-finance-pojmy-produkty;GGK;;;;1;0
391;53;;;;Obsah;;;;;cviceni-obsah;GGU;;;;1;4
392;53;;;;Délka a obvod;;;;;cviceni-obvod;GGV;;;;1;3
393;54;;;;Povrch;;;;;cviceni-povrch;GGW;;;;1;1
394;54;;;;Objem;;;;;cviceni-objem;GGX;;;;1;2
395;62;;;;Obvod na mřížce: mix;;;;;cviceni-obvod-mrizka-mix;GGZ;;;;1;6
396;62;409;;;Obvod trojúhelníku (na mřížce);;;;;cviceni-obvod-trojuhelniku-mrizka;GG4;;;;1;4
397;62;347;;;Obvod čtverce a obdélníku (na mřížce);;;;;cviceni-obvod-trojuhelnik-ctverec-mrizka;GG6;;;;1;3
