id;parent;type;name;shortName;shortcut;explanation;specs;aggregationType
820;321;writtenAnswer;;;wa-slovni-pomery-vypocty;;;basic
821;235;writtenAnswer;;;wa-slovni-prima-a-neprima-umernost;;;basic
822;237;writtenAnswer;;;wa-slovni-myslim-si-cislo;;;basic
823;236;writtenAnswer;;;wa-slovni-ulohy-o-smesich;;;basic
824;240;writtenAnswer;;;wa-slovni-spolecna-prace;;;basic
825;238;writtenAnswer;;;wa-slovni-ulohy-s-pohybem;;;basic
826;92;writtenAnswer;[["text","Slovní úlohy s časem"]];;wa-slovni-slovni-ulohy-s-casem;;;basic
827;160;writtenAnswer;[["text","Slovní úlohy na převody jednotek"]];;wa-slovni-slovni-ulohy-na-prevody-jednotek;;;basic
828;202;writtenAnswer;[["text","Slovní úlohy o penězích - různé"]];;wa-slovni-slovni-ulohy-o-penezich-ruzne;;;basic
829;202;writtenAnswer;[["text","Slovní úlohy o penězích - mix"]];;wa-slovni-slovni-ulohy-o-penezich-mix;;{    "rs": [        "wa-slovni-slovni-ulohy-o-penezich-ruzne",        "wa-slovni-spolecne-vydaje-a-vyrovnani",        "wa-slovni-prevody-men",        "wa-slovni-penize-procenta"    ]};mix
830;245;writtenAnswer;[["text","Slovní úlohy na množiny"]];;wa-slovni-slovni-ulohy-na-mnoziny;;;basic
831;191;writtenAnswer;[["text","Kombinace bez opakování"]];;wa-slovni-kombinace-bez-opakovani;;;basic
832;191;writtenAnswer;[["text","Kombinace s opakováním"]];;wa-slovni-kombinace-s-opakovanim;;;basic
833;191;writtenAnswer;[["text","Permutace a variace bez opakování"]];;wa-slovni-permutace-a-variace-bez-opakovani;;;basic
834;191;writtenAnswer;[["text","Permutace a variace s opakováním"]];;wa-slovni-permutace-a-variace-s-opakovanim;;;basic
835;135;writtenAnswer;[["text","Kombinatorická číselná rozcvička"]];;wa-slovni-kombinatoricka-ciselna-rozcvicka;;;basic
836;253;writtenAnswer;;;wa-slovni-pravdepodobnost-mix;;;basic
837;88;writtenAnswer;;;wa-slovni-tabulky-zakladni-porozumeni;;;basic
838;292;writtenAnswer;;;wa-slovni-sloupcove-grafy;;;basic
839;87;writtenAnswer;;;wa-slovni-spojnicove-grafy;;;basic
840;177;writtenAnswer;;;wa-cisla-mix;;{"rs":["wa-ciselna-osa-do-20","wa-pocitani-do-100","wa-cisla-do-1-000-slovne", "wa-zaokrouhlovani-na-desitky-a-stovky"]};mix
841;214;writtenAnswer;;;wa-scitani-odcitani-viceciferne-mix;;{"rs":["wa-scitani-a-odcitani-od-20-do-100","wa-scitani-pod-sebou","wa-odcitani-pod-sebou","wa-scitani-a-odcitani-od-20-do-100","wa-scitani-a-odcitani-nad-100"]};mix
842;106;writtenAnswer;;;wa-scitani-a-odcitani-mix;;{    "rs": [        "wa-scitani-a-odcitani-do-10",        "wa-scitani-a-odcitani-do-20"    ]};mix
843;107;writtenAnswer;;;wa-nasobeni-a-deleni-mix;;{"rs":["wa-mala-nasobilka","wa-deleni-jednociferne","wa-nasobeni-viceciferne","wa-deleni-se-zbytkem","wa-deleni-viceciferne"]};mix
844;108;writtenAnswer;;;wa-kombinace-operaci-mix;;{"rs":["wa-doplnovani-rad-pocitani","wa-poradi-operaci-zavorky","wa-pocitani-s-napadem"]};mix
845;109;writtenAnswer;;;wa-zaporna-cisla-mix;;{"rs":["wa-ciselna-osa-kladna-a-zaporna-cisla","wa-pocitani-se-zapornymi-cisly","wa-pocitani-se-zapornymi-cisly","wa-vyrazy-s-absolutni-hodnotou"]};mix
846;110;writtenAnswer;;;wa-delitelnost-mix;;{"rs":["wa-nejvetsi-spolecny-delitel","wa-nejmensi-spolecny-nasobek"]};mix
847;33;writtenAnswer;;;wa-mocniny-odmocniny-mix;;{"rs":["wa-mocniny","wa-odmocniny","wa-vyrazy-s-mocninami-a-odmocninami","wa-zaporne-mocniny","wa-logaritmus-vypocet"]};mix
848;111;writtenAnswer;;;wa-zlomky-mix;;{"rs":["wa-kraceni-zlomku","wa-scitani-a-odcitani-zlomku","wa-scitani-a-odcitani-zlomku","wa-nasobeni-a-deleni-zlomku","wa-zlomky-na-ciselne-ose","wa-smisena-cisla","wa-scitani-a-odcitani-zlomku"]};mix
849;113;writtenAnswer;;;wa-desetinna-cisla-mix;;{"rs":["wa-zaokrouhlovani-desetinnych-cisel","wa-scitani-a-odcitani-desetinnych-cisel","wa-nasobeni-desetinnych-cisel","wa-zlomky-a-desetinna-cisla","wa-deleni-desetinnych-cisel", "wa-desetinna-cisla-mocniny-odmocniny","wa-vypocty-s-desetinnymi-cisly"]};mix
850;115;writtenAnswer;;;wa-obsah-obvod-mix;;{"rs":["wa-obsah-na-mrizce","wa-obvod-na-mrizce","wa-obsah-trojuhelniky","wa-obsah-obdelnik-ctverec","wa-obsah-lichobeznik","wa-obsah-rovnobeznik","wa-obvod-trojuhelniky","wa-obvod-obdelnik-ctverec","wa-obvod-lichobeznik","wa-obvod-rovnobeznik","wa-obsah-kruh","wa-obsah-vysec","wa-delka-oblouku","wa-obvod-kruh-kruznice","wa-obsah-kombinace-utvaru"]};mix
851;266;writtenAnswer;;;wa-objem-povrch-mix;;{    "rs": [        "wa-objem-krychle-kvadr",        "wa-objem-hranol",        "wa-objem-jehlan",        "wa-objem-koule",        "wa-objem-valec",        "wa-objem-kuzel",        "wa-povrch-krychle-kvadr",        "wa-povrch-hranol",        "wa-povrch-jehlan",        "wa-povrch-koule",        "wa-povrch-valec",        "wa-povrch-kuzel"    ]};mix
852;179;writtenAnswer;;;wa-uhly-mix;;{"rs":["wa-uhly-v-trojuhelniku","wa-uhly-ve-ctyruhelniku","wa-uhly-a-mnohouhelniky"]};mix
853;215;writtenAnswer;;;wa-pythagorova-veta-mix;;{"rs":["wa-pythagorova-veta-zakladni-pouziti","wa-pythagorova-veta-aplikace"]};mix
854;182;writtenAnswer;;;wa-vyrazy-upravy-mix;;{"rs":["wa-dosazovani-do-vyrazu","wa-upravy-vyrazu-s-jednou-promennou","wa-upravy-vyrazu-s-vice-promennymi","wa-lomene-vyrazy"]};mix
855;159;writtenAnswer;;;wa-rovnice-mix;;{"rs":["wa-zakladni-rovnice-s-jednou-neznamou","wa-rovnice-se-zavorkami","wa-rovnice-se-zlomky","wa-rovnice-s-lomenymi-vyrazy","wa-dve-rovnice-o-dvou-neznamych","wa-kvadraticke-rovnice","wa-rovnice-s-desetinnymi-cisly","wa-vyjadreni-nezname-z-rovnice","wa-dve-rovnice-o-dvou-neznamych"]};mix
856;160;writtenAnswer;;;wa-jednotky-mix;;{"rs":["wa-jednotky-delky","wa-jednotky-hmotnosti","wa-jednotky-obsahu","wa-jednotky-objemu"]};mix
857;266;writtenAnswer;;;wa-slovni-objem-povrch-mix;;{"rs":["wa-slovni-objem-a-povrch-koule-valec-kuzel","wa-slovni-objem-a-povrch-kvadr-jehlan-hranol"]};mix
858;239;writtenAnswer;;;wa-slovni-ulohy-rovnice-mix;;{"rs":["wa-slovni-prima-a-neprima-umernost","wa-slovni-obecne-slovni-ulohy-s-rovnicemi","wa-slovni-prima-a-neprima-umernost","wa-slovni-spolecna-prace","wa-slovni-ulohy-o-smesich"]};mix
859;334;binaryChoice;;;bc-porovnavani-vysledku-do-20;;;basic
